,"parking complaint"
,"report of something burning inside not involving the structure"
,"hit and run, no injury and no blocking"
,"dangerous condition"
,"small aircraft operational defect"
,"human life endangered by animal"
,"any dumpster, grass or rubbish fire not posing an exposure problem"
,"accident of motor vehicles involving unknown injury"
,"barking dogs"
,"accident of motor vehicles with people trapped"
,"odor of smoke"
,"dangerous condition - no immediate danger to life or property"
,"mva rollover"
,"mva with injuries"
,"accident of motor vehicles involving known injury"
,"report of  a structure fire"
,"traffic light problems"
,"wires down, wires arcing, wires blocking roadway"
,"mva auto - pedestrian"
,"person trapped other than in a motor vehicle"
,"mva auto - bicycle/motorcycle"
,"wires burning in a tree, object on wire"
,"school crossings"
,"mva pinned/trapped victim"
,"mva person not alert"
,"mva person ejected"
,"mva minor injuries"
,"a large or small aircraft landing or taking off, experiencing any mechanical emergency"
,"mva atv"
,"mva hazmat"
,"mva bus"
,"mva veh into water"
,"mva train"
,"train wreck or derailment"
,"boating accidents, boats in distress, sinkings, all boat fires, flare sightings"
,"potentially hazardous material"
,"airport emergency alert"
,"mva vehicle off bridge/height"
,"airplane crash"
,"mva serious injuries"
,"mva personal watercraft"
,"construction road closing information"
,"any emergency requests for assistance from fire, police, ems"
,"major airport accident"
,"mva aircraft"
,"mva multiple vehicles"
